BMW,1 Series M,46135.00
BMW,1 Series,37853.12
Audi,100,2000.00
FIAT,124 Spider,26895.00
Mercedes-Benz,190-Class,2000.00
BMW,2 Series,41697.06
Audi,200,2000.00
Chrysler,200,26582.17
Nissan,200SX,2008.11
Nissan,240SX,4066.38
Volvo,240,2000.00
Mazda,2,15821.67
BMW,3 Series Gran Turismo,45250.00
BMW,3 Series,40897.06
Mercedes-Benz,300-Class,2385.59
Mitsubishi,3000GT,5035.78
Chrysler,300,38134.33
Chrysler,300M,30600.83
Nissan,300ZX,2968.58
Mazda,323,2000.00
Mercedes-Benz,350-Class,2182.75
Nissan,350Z,36442.35
Ferrari,360,161978.54
Nissan,370Z,40654.12
Mazda,3,22195.00
BMW,4 Series Gran Coupe,44750.00
BMW,4 Series,48984.48
Mercedes-Benz,400-Class,2398.25
Mercedes-Benz,420-Class,2093.00
Ferrari,456M,225027.50
Ferrari,458 Italia,258059.88
Alfa Romeo,4C,61600.00
Toyota,4Runner,38221.35
BMW,5 Series Gran Turismo,65740.00
BMW,5 Series,58306.25
Mercedes-Benz,500-Class,3643.62
FIAT,500e,31800.00
FIAT,500,20449.82
FIAT,500L,22120.77
FIAT,500X,24620.33
Ferrari,550,227170.00
Mercedes-Benz,560-Class,2310.00
McLaren,570S,184900.00
Ferrari,575M,221966.33
Maybach,57,401357.14
Ferrari,599,334449.20
Mazda,5,22183.64
BMW,6 Series Gran Coupe,86383.33
BMW,6 Series,87933.33
Mercedes-Benz,600-Class,3475.50
Pontiac,6000,2000.00
Ferrari,612 Scaglietti,313088.00
Mazda,626,13786.82
Maybach,62,452471.43
McLaren,650S Coupe,265500.00
McLaren,650S Spider,280225.00
Mazda,6,24761.33
BMW,7 Series,90662.50
Porsche,718 Cayman,60100.00
Volvo,740,2000.00
Volvo,760,2000.00
Volvo,780,2000.00
BMW,8 Series,6583.00
Audi,80,2000.00
Volvo,850,2003.50
Toyota,86,26615.00
Saab,9-2X,24970.00
Saab,9-3 Griffin,36581.11
Saab,9-3,37603.28
Saab,9-4X,38952.00
Saab,9-5,42925.91
Saab,9-7X,43393.12
Saab,9000,2058.60
Saab,900,2025.13
Audi,90,2000.00
Porsche,911,123763.79
Porsche,928,7704.33
Mazda,929,2000.00
Volvo,940,2000.00
Porsche,944,3093.75
Volvo,960,2000.00
Porsche,968,4643.00
Audi,A3,38652.13
Audi,A4 allroad,47466.67
Audi,A4,39752.00
Audi,A5,44300.00
Audi,A6,54673.91
Audi,A7,69895.00
Audi,A8,94850.00
GMC,Acadia Limited,44850.00
GMC,Acadia,40086.41
Hyundai,Accent,15911.67
Plymouth,Acclaim,2000.00
Honda,Accord Crosstour,33610.00
Honda,Accord Hybrid,32316.11
Honda,Accord Plug-In Hybrid,39780.00
Honda,Accord,27886.07
Oldsmobile,Achieva,2000.00
BMW,ActiveHybrid 5,61800.00
BMW,ActiveHybrid 7,84300.00
BMW,ActiveHybrid X6,88900.00
Suzuki,Aerio,15918.35
Ford,Aerostar,2000.00
Oldsmobile,Alero,20626.25
Cadillac,Allante,2197.33
Audi,allroad quattro,41943.75
Audi,allroad,44675.00
BMW,ALPINA B6 Gran Coupe,120666.67
BMW,ALPINA B7,132333.33
BMW,Alpina,136900.00
Nissan,Altima Hybrid,26743.33
Nissan,Altima,26956.25
Kia,Amanti,25678.33
Mercedes-Benz,AMG GT,124100.00
Nissan,Armada,48204.00
Bentley,Arnage,246890.00
Chrysler,Aspen,35792.14
Ford,Aspire,2000.00
Chevrolet,Astro Cargo,23791.67
Chevrolet,Astro,25105.00
Cadillac,ATS Coupe,45772.14
Cadillac,ATS-V,61680.00
Cadillac,ATS,42111.15
Oldsmobile,Aurora,33367.60
Chevrolet,Avalanche,42064.67
Toyota,Avalon Hybrid,39018.89
Toyota,Avalon,36230.33
Dodge,Avenger,22825.00
Lamborghini,Aventador,470050.00
Chevrolet,Aveo,13843.33
Lincoln,Aviator,42543.00
Nissan,Axxess,2000.00
Hyundai,Azera,36500.00
Pontiac,Aztek,22688.33
Bentley,Azure T,363000.00
Bentley,Azure,331656.67
Mercedes-Benz,B-Class Electric Drive,40933.33
Mazda,B-Series Pickup,2984.97
Mazda,B-Series Truck,20608.64
Mazda,B-Series,16712.69
Subaru,B9 Tribeca,34088.33
Subaru,Baja,24398.33
Volkswagen,Beetle Convertible,30491.97
Volkswagen,Beetle,26100.93
Chevrolet,Beretta,2000.00
Chevrolet,Black Diamond Avalanche,41295.83
Lincoln,Blackwood,51785.00
Chevrolet,Blazer,24151.43
Chevrolet,Bolt EV,38762.50
Pontiac,Bonneville,30752.78
Kia,Borrego,31722.78
Porsche,Boxster,61412.50
Oldsmobile,Bravada,34021.43
Plymouth,Breeze,2000.00
Ford,Bronco II,2000.00
Ford,Bronco,2697.00
Bentley,Brooklands,340990.00
Cadillac,Brougham,2000.00
Subaru,BRZ,27685.83
Mercedes-Benz,C-Class,49298.38
Ford,C-Max Hybrid,25653.33
Volvo,C30,26258.33
Mercedes-Benz,C36 AMG,3960.33
Mercedes-Benz,C43 AMG,4957.33
Volvo,C70,40533.33
Spyker,C8,213323.33
Audi,Cabriolet,2868.33
Volkswagen,Cabriolet,2000.00
Volkswagen,Cabrio,18592.21
Kia,Cadenza,38392.50
Dodge,Caliber,18739.06
Ferrari,California T,198973.00
Ferrari,California,197406.67
Chevrolet,Camaro,38991.67
Toyota,Camry Hybrid,28290.56
Toyota,Camry Solara,24342.34
Toyota,Camry,26952.89
GMC,Canyon,28899.17
Chevrolet,Caprice,2000.00
Chevrolet,Captiva Sport,26205.83
Dodge,Caravan,20480.56
Porsche,Carrera GT,440000.00
Buick,Cascada,35065.00
Cadillac,Catera,9428.75
Chevrolet,Cavalier,15308.00
Porsche,Cayenne,94385.71
Porsche,Cayman S,58900.00
Porsche,Cayman,62487.50
Volkswagen,CC,35854.38
Chevrolet,Celebrity,2000.00
Toyota,Celica,20725.00
Buick,Century,21696.67
Dodge,Challenger,39230.45
Dodge,Charger,38835.71
Chevrolet,Chevy Van,2024.22
Oldsmobile,Ciera,2000.00
Chrysler,Cirrus,2227.33
Chevrolet,City Express,22810.00
Honda,Civic CRX,2000.00
Honda,Civic del Sol,2136.44
Honda,Civic,22517.94
Chevrolet,C/K 1500 Series,2902.04
Chevrolet,C/K 2500 Series,3048.75
Mercedes-Benz,CL-Class,160483.33
Mercedes-Benz,CLA-Class,38427.78
Acura,CL,29818.89
Chevrolet,Classic,19597.50
